ID,Title,Difficulty,Link,Topics,Acceptance Rate (%),Premium Only,Category,Likes,Dislikes,Example Test Cases,Similar Questions
3578,Count Partitions With Max-Min Difference at Most K,Medium,https://leetcode.com/problems/count-partitions-with-max-min-difference-at-most-k/,"Array, Dynamic Programming, Queue, Sliding Window, Prefix Sum, Monotonic Queue",37.08,False,Algorithms,125,8,,"[{""title"": ""Number of Great Partitions"", ""titleSlug"": ""number-of-great-partitions"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
3482,Analyze Organization Hierarchy,Hard,https://leetcode.com/problems/analyze-organization-hierarchy/,Database,59.57,False,Database,33,2,,[]
3508,Implement Router,Medium,https://leetcode.com/problems/implement-router/,"Array, Hash Table, Binary Search, Design, Queue, Ordered Set",22.26,False,Algorithms,88,16,,[]
3530,Maximum Profit from Valid Topological Order in DAG,Hard,https://leetcode.com/problems/maximum-profit-from-valid-topological-order-in-dag/,"Array, Dynamic Programming, Bit Manipulation, Graph, Topological Sort, Bitmask",27.62,False,Algorithms,48,3,,[]
3481,Apply Substitutions,Medium,https://leetcode.com/problems/apply-substitutions/,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort",77.57,True,Algorithms,45,5,,"[{""title"": ""Evaluate the Bracket Pairs of a String"", ""titleSlug"": ""evaluate-the-bracket-pairs-of-a-string"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
3534,Path Existence Queries in a Graph II,Hard,https://leetcode.com/problems/path-existence-queries-in-a-graph-ii/,"Array, Binary Search, Greedy, Graph, Sorting",23.05,False,Algorithms,36,1,,[]
3558,Number of Ways to Assign Edge Weights I,Medium,https://leetcode.com/problems/number-of-ways-to-assign-edge-weights-i/,"Math, Tree, Depth-First Search",53.77,False,Algorithms,51,6,,[]
3513,Number of Unique XOR Triplets I,Medium,https://leetcode.com/problems/number-of-unique-xor-triplets-i/,"Array, Math, Bit Manipulation",25.33,False,Algorithms,45,11,,[]
3537,Fill a Special Grid,Medium,https://leetcode.com/problems/fill-a-special-grid/,"Array, Divide and Conquer, Matrix",70.09,False,Algorithms,102,9,,[]
3619,Count Islands With Total Value Divisible by K,Medium,https://leetcode.com/problems/count-islands-with-total-value-divisible-by-k/,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",55.33,False,Algorithms,45,1,,"[{""title"": ""Number of Islands"", ""titleSlug"": ""number-of-islands"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
3538,Merge Operations for Minimum Travel Time,Hard,https://leetcode.com/problems/merge-operations-for-minimum-travel-time/,"Array, Dynamic Programming, Prefix Sum",27.82,False,Algorithms,62,7,,[]
3529,Count Cells in Overlapping Horizontal and Vertical Substrings,Medium,https://leetcode.com/problems/count-cells-in-overlapping-horizontal-and-vertical-substrings/,"Array, String, Rolling Hash, String Matching, Matrix, Hash Function",23.23,False,Algorithms,53,13,,[]
3514,Number of Unique XOR Triplets II,Medium,https://leetcode.com/problems/number-of-unique-xor-triplets-ii/,"Array, Math, Bit Manipulation, Enumeration",29.76,False,Algorithms,41,9,,[]
3531,Count Covered Buildings,Medium,https://leetcode.com/problems/count-covered-buildings/,"Array, Hash Table, Sorting",37.84,False,Algorithms,77,8,,[]
3476,Maximize Profit from Task Assignment,Medium,https://leetcode.com/problems/maximize-profit-from-task-assignment/,"Array, Greedy, Sorting, Heap (Priority Queue)",66.82,True,Algorithms,7,1,,[]
3515,Shortest Path in a Weighted Tree,Hard,https://leetcode.com/problems/shortest-path-in-a-weighted-tree/,"Array, Tree, Depth-First Search, Binary Indexed Tree, Segment Tree",33.05,False,Algorithms,51,2,,[]
3475,DNA Pattern Recognition ,Medium,https://leetcode.com/problems/dna-pattern-recognition/,Database,85.24,False,Database,37,4,,[]
3533,Concatenated Divisibility,Hard,https://leetcode.com/problems/concatenated-divisibility/,"Array, Dynamic Programming, Bit Manipulation, Bitmask",26.35,False,Algorithms,39,6,,[]
3506,Find Time Required to Eliminate Bacterial Strains,Hard,https://leetcode.com/problems/find-time-required-to-eliminate-bacterial-strains/,"Array, Math, Greedy, Heap (Priority Queue)",57.38,True,Algorithms,4,1,,"[{""title"": ""Minimum Time to Build Blocks"", ""titleSlug"": ""minimum-time-to-build-blocks"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
3517,Smallest Palindromic Rearrangement I,Medium,https://leetcode.com/problems/smallest-palindromic-rearrangement-i/,"String, Sorting, Counting Sort",63.03,False,Algorithms,72,2,,"[{""title"": ""Shortest Palindrome"", ""titleSlug"": ""shortest-palindrome"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
3518,Smallest Palindromic Rearrangement II,Hard,https://leetcode.com/problems/smallest-palindromic-rearrangement-ii/,"Hash Table, Math, String, Combinatorics, Counting",12.45,False,Algorithms,66,5,,[]
